Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MobileApp - Search,,,2019-03-13 11:50:18,2019-03-13 11:52:56,2m - 38.131s,PASSED
,,,,,,
Test Cases/MobileApp/Search,,,2019-03-13 11:50:18,2019-03-13 11:52:56,2m - 37.735s,PASSED
"startApplication(""kobiton-store:28005"", true)",,,2019-03-13 11:50:19,2019-03-13 11:51:38,1m - 18.874s,PASSED
"tap(findTestObject(""MobileApp/android.widget.Button1 - SIGN IN (1)""), 0)",,,2019-03-13 11:51:38,2019-03-13 11:51:45,7.573s,PASSED
"setText(findTestObject(""MobileApp/android.widget.EditText0 - Email AddressPhone Number (2)""), ""brian.ducson@gmail.com"", 0)",,,2019-03-13 11:51:45,2019-03-13 11:51:54,8.546s,PASSED
"setText(findTestObject(""MobileApp/android.widget.EditText1 - Password (2)""), ""@mypassword"", 0)",,,2019-03-13 11:51:54,2019-03-13 11:52:01,7.324s,PASSED
"tap(findTestObject(""MobileApp/android.widget.Button0 - SHOW (2)""), 0)",,,2019-03-13 11:52:01,2019-03-13 11:52:07,5.619s,PASSED
"tap(findTestObject(""MobileApp/android.widget.Button2 - SIGN IN (1)""), 0)",,,2019-03-13 11:52:07,2019-03-13 11:52:13,6.159s,PASSED
"tap(findTestObject(""MobileApp/android.widget.ImageView0""), 0)",,,2019-03-13 11:52:13,2019-03-13 11:52:21,8.092s,PASSED
"setText(findTestObject(""MobileApp/android.widget.EditText0 - Enter Zone Number""), ""123456"", 0)",,,2019-03-13 11:52:21,2019-03-13 11:52:27,6.125s,PASSED
"tap(findTestObject(""MobileApp/android.widget.ImageView0 (1)""), 0)",,,2019-03-13 11:52:27,2019-03-13 11:52:36,8.719s,PASSED
"tap(findTestObject(""MobileApp/android.widget.TextView1 - Done""), 0)",,,2019-03-13 11:52:36,2019-03-13 11:52:42,6.041s,PASSED
"tap(findTestObject(""MobileApp/android.widget.ImageButton0""), 0)",,,2019-03-13 11:52:42,2019-03-13 11:52:48,6.043s,PASSED
"tap(findTestObject(""MobileApp/android.widget.TextView2 - 51088""), 0)",,,2019-03-13 11:52:48,2019-03-13 11:52:55,6.941s,PASSED
closeApplication(),,,2019-03-13 11:52:55,2019-03-13 11:52:56,1.149s,PASSED
