Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MobileApp,,,2019-03-13 11:11:03,2019-03-13 11:26:13,15m - 10.218s,FAILED
,,,,,,
Test Cases/MobileApp/Log in,,,2019-03-13 11:11:03,2019-03-13 11:18:08,7m - 4.163s,PASSED
Start setup action : setupTestCase,,,2019-03-13 11:11:04,2019-03-13 11:16:04,5m - 0.382s,PASSED
"startApplication(""kobiton-store:28005"", true)",,,2019-03-13 11:16:04,2019-03-13 11:17:27,1m - 22.383s,PASSED
"tap(findTestObject(""MobileApp/android.widget.Button1 - SIGN IN""), 0)",,,2019-03-13 11:17:27,2019-03-13 11:17:34,7.795s,PASSED
"setText(findTestObject(""MobileApp/android.widget.EditText0 - Email AddressPhone Number (1)""), ""brian.ducson@gmail.com"", 0)",,,2019-03-13 11:17:34,2019-03-13 11:17:42,7.788s,PASSED
"setText(findTestObject(""MobileApp/android.widget.EditText1 - Password (1)""), ""@mypassword"", 0)",,,2019-03-13 11:17:42,2019-03-13 11:17:49,6.421s,PASSED
"tap(findTestObject(""MobileApp/android.widget.Button0 - SHOW (1)""), 0)",,,2019-03-13 11:17:49,2019-03-13 11:17:54,5.836s,PASSED
"tap(findTestObject(""MobileApp/android.widget.Button2 - SIGN IN""), 0)",,,2019-03-13 11:17:54,2019-03-13 11:18:03,9.072s,PASSED
delay(3),,,2019-03-13 11:18:03,2019-03-13 11:18:07,3.005s,PASSED
closeApplication(),,,2019-03-13 11:18:07,2019-03-13 11:18:08,1.151s,PASSED
,,,,,,
Test Cases/MobileApp/Search,,,2019-03-13 11:18:08,2019-03-13 11:26:12,8m - 4.667s,FAILED
Start setup action : setupTestCase,,,2019-03-13 11:18:08,2019-03-13 11:23:08,5m - 0.012s,PASSED
"startApplication(""kobiton-store:28005"", true)",,,2019-03-13 11:23:08,2019-03-13 11:24:08,59.922s,PASSED
"tap(findTestObject(""MobileApp/android.widget.Button1 - SIGN IN (1)""), 0)",,,2019-03-13 11:24:08,2019-03-13 11:24:15,6.834s,PASSED
"setText(findTestObject(""MobileApp/android.widget.EditText0 - Email AddressPhone Number (2)""), ""brian.ducson@gmail.com"", 0)",,,2019-03-13 11:24:15,2019-03-13 11:24:21,6.834s,PASSED
"setText(findTestObject(""MobileApp/android.widget.EditText1 - Password (2)""), ""@mypassword"", 0)",,,2019-03-13 11:24:21,2019-03-13 11:24:28,6.274s,PASSED
"tap(findTestObject(""MobileApp/android.widget.Button0 - SHOW (2)""), 0)",,,2019-03-13 11:24:28,2019-03-13 11:24:34,6.657s,PASSED
"tap(findTestObject(""MobileApp/android.widget.Button2 - SIGN IN (1)""), 0)",,,2019-03-13 11:24:34,2019-03-13 11:24:43,8.601s,PASSED
"tap(findTestObject(""MobileApp/android.widget.ImageView0""), 0)",,,2019-03-13 11:24:43,2019-03-13 11:24:49,6.383s,PASSED
"setText(findTestObject(""MobileApp/android.widget.EditText0 - Enter Zone Number""), ""123456"", 0)",,,2019-03-13 11:24:49,2019-03-13 11:24:56,6.209s,PASSED
"tap(findTestObject(""MobileApp/android.widget.ImageView0 (1)""), 0)",,,2019-03-13 11:24:56,2019-03-13 11:25:04,8.804s,PASSED
"tap(findTestObject(""MobileApp/android.widget.TextView1 - Done""), 0)",,,2019-03-13 11:25:04,2019-03-13 11:25:10,6.044s,PASSED
"tap(findTestObject(""MobileApp/android.widget.ImageButton0""), 0)",,,2019-03-13 11:25:10,2019-03-13 11:25:17,6.040s,PASSED
"tap(findTestObject(""MobileApp/android.widget.TextView2 - 51088""), 0)",,,2019-03-13 11:25:17,2019-03-13 11:26:12,55.818s,FAILED
