Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebApp,Chrome 72.0.3626.121,,2019-03-13 14:17:03,2019-03-13 14:19:44,2m - 40.747s,PASSED
,,,,,,
Test Cases/WebApp/Create a new issue - call test cases,Chrome 72.0.3626.121,,2019-03-13 14:17:03,2019-03-13 14:17:38,34.734s,PASSED
"callTestCase(findTestCase(""WebApp/Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-13 14:17:04,2019-03-13 14:17:28,24.284s,PASSED
"callTestCase(findTestCase(""WebApp/Create a new issue after login""), [""issue_sum"":""This is my issue"", ""issue_desc"":""It needs to be fixed asap""], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-13 14:17:28,2019-03-13 14:17:38,10.191s,PASSED
,,,,,,
Test Cases/WebApp/Create a new issue - parameterize,Chrome 72.0.3626.121,"Summary: This is the 1st issue
Description: Should be handled asap",2019-03-13 14:17:38,2019-03-13 14:18:09,31.064s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-13 14:17:38,2019-03-13 14:17:39,1.067s,PASSED
"navigateToUrl(""https://id.atlassian.com/login?continue=https%3A%2F%2Fkatalon.atlassian.net%2Flogin%3FredirectCount%3D1"")",Chrome 72.0.3626.121,,2019-03-13 14:17:39,2019-03-13 14:17:43,3.503s,PASSED
"setText(findTestObject(""Object Repository/WebApp/Page_Log in to continue - Log in with Atlassian account/input_Email_username""), username)",Chrome 72.0.3626.121,,2019-03-13 14:17:43,2019-03-13 14:17:43,0.223s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_Log in to continue - Log in with Atlassian account/span_Continue""))",Chrome 72.0.3626.121,,2019-03-13 14:17:43,2019-03-13 14:17:43,0.125s,PASSED
"setText(findTestObject(""Object Repository/WebApp/Page_Log in to continue - Log in with Atlassian account/input_Email_username""), username)",Chrome 72.0.3626.121,,2019-03-13 14:17:43,2019-03-13 14:17:46,2.722s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 72.0.3626.121,,2019-03-13 14:17:46,2019-03-13 14:17:46,0.096s,PASSED
"setEncryptedText(findTestObject(""Object Repository/WebApp/Page_Sign in to your account/input_Enter password_passwd""), encrypted_password)",Chrome 72.0.3626.121,,2019-03-13 14:17:46,2019-03-13 14:17:46,0.190s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_Sign in to your account/input_Forgot my password_idSIButton9""))",Chrome 72.0.3626.121,,2019-03-13 14:17:46,2019-03-13 14:17:47,1.087s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_Sign in to your account/input_concat(Don  t show this again)_idSIButton9""))",Chrome 72.0.3626.121,,2019-03-13 14:17:47,2019-03-13 14:17:51,3.515s,PASSED
"scrollToElement(findTestObject(""Object Repository/WebApp/Page_System dashboard - Jira/h1_System dashboard""), 0)",Chrome 72.0.3626.121,,2019-03-13 14:17:51,2019-03-13 14:17:59,7.843s,PASSED
"verifyElementText(findTestObject(""Object Repository/WebApp/Page_System dashboard - Jira/h1_System dashboard""), homepage_title)",Chrome 72.0.3626.121,,2019-03-13 14:17:59,2019-03-13 14:17:59,0.045s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_System dashboard - Jira/button_Dashboards_createGlobalItem""))",Chrome 72.0.3626.121,,2019-03-13 14:17:59,2019-03-13 14:17:59,0.222s,PASSED
"setText(findTestObject(""Object Repository/WebApp/Page_Create issue - Jira/input_Required_summary""), issue_sum)",Chrome 72.0.3626.121,,2019-03-13 14:17:59,2019-03-13 14:18:01,1.898s,PASSED
"setText(findTestObject(""Object Repository/WebApp/Page_Create issue - Jira/textarea_Lock  Unlock_description""), issue_desc)",Chrome 72.0.3626.121,,2019-03-13 14:18:01,2019-03-13 14:18:02,0.681s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_Create issue - Jira/input_Create another_Edit""))",Chrome 72.0.3626.121,,2019-03-13 14:18:02,2019-03-13 14:18:02,0.105s,PASSED
"click(findTestObject(""Object Repository/WebApp/Page_System dashboard - Jira/a_PAR-5 - This is my issue""))",Chrome 72.0.3626.121,,2019-03-13 14:18:02,2019-03-13 14:18:09,7.319s,PASSED
"verifyElementText(findTestObject(""Object Repository/WebApp/Page_PAR-5 This is my issue - Jira/h1_This is my issue""), issue_sum)",Chrome 72.0.3626.121,,2019-03-13 14:18:09,2019-03-13 14:18:09,0.038s,PASSED
"verifyElementText(findTestObject(""Object Repository/WebApp/Page_PAR-5 This is my issue - Jira/p_It needs to be fixed asap - params"", [""issue_desc"":issue_desc]), issue_desc)",Chrome 72.0.3626.121,,2019-03-13 14:18:09,2019-03-13 14:18:09,0.029s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-13 14:18:09,2019-03-13 14:18:09,0.157s,PASSED
,,,,,,
Test Cases/WebApp/Create a new issue - recording,Chrome 72.0.3626.121,"Summary: This is the 1st issue
Description: Should be handled asap",2019-03-13 14:18:09,2019-03-13 14:18:42,32.824s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-13 14:18:09,2019-03-13 14:18:10,1.191s,PASSED
"navigateToUrl(""https://id.atlassian.com/login?continue=https%3A%2F%2Fkatalon.atlassian.net%2Flogin%3FredirectCount%3D1"")",Chrome 72.0.3626.121,,2019-03-13 14:18:10,2019-03-13 14:18:14,3.504s,PASSED
"setText(findTestObject(""Object Repository/WebApp/Page_Log in to continue - Log in with Atlassian account/input_Email_username""), ""demo@katalon.com"")",Chrome 72.0.3626.121,,2019-03-13 14:18:14,2019-03-13 14:18:14,0.263s,PASSED
