2019-02-14 21:12:29 startup archives unpack
2019-02-14 21:12:30 install libsqlite3-0:amd64 <none> 3.8.7.1-1+deb8u2
2019-02-14 21:12:30 status half-installed libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2019-02-14 21:12:30 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2019-02-14 21:12:30 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2019-02-14 21:12:31 install libpython2.7-minimal:amd64 <none> 2.7.9-2+deb8u2
2019-02-14 21:12:31 status half-installed libpython2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:31 status unpacked libpython2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:32 status unpacked libpython2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:32 install python2.7-minimal:amd64 <none> 2.7.9-2+deb8u2
2019-02-14 21:12:32 status half-installed python2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:33 status unpacked python2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:33 status unpacked python2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:34 install python-minimal:amd64 <none> 2.7.9-1
2019-02-14 21:12:34 status half-installed python-minimal:amd64 2.7.9-1
2019-02-14 21:12:35 status unpacked python-minimal:amd64 2.7.9-1
2019-02-14 21:12:35 status unpacked python-minimal:amd64 2.7.9-1
2019-02-14 21:12:35 install libexpat1:amd64 <none> 2.1.0-6+deb8u4
2019-02-14 21:12:35 status half-installed libexpat1:amd64 2.1.0-6+deb8u4
2019-02-14 21:12:36 status unpacked libexpat1:amd64 2.1.0-6+deb8u4
2019-02-14 21:12:36 status unpacked libexpat1:amd64 2.1.0-6+deb8u4
2019-02-14 21:12:36 install libpython2.7-stdlib:amd64 <none> 2.7.9-2+deb8u2
2019-02-14 21:12:36 status half-installed libpython2.7-stdlib:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:37 status unpacked libpython2.7-stdlib:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:37 status unpacked libpython2.7-stdlib:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:38 install python2.7:amd64 <none> 2.7.9-2+deb8u2
2019-02-14 21:12:38 status half-installed python2.7:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:38 status triggers-pending mime-support:all 3.58
2019-02-14 21:12:39 status unpacked python2.7:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:39 status unpacked python2.7:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:40 install libpython-stdlib:amd64 <none> 2.7.9-1
2019-02-14 21:12:40 status half-installed libpython-stdlib:amd64 2.7.9-1
2019-02-14 21:12:40 status unpacked libpython-stdlib:amd64 2.7.9-1
2019-02-14 21:12:40 status unpacked libpython-stdlib:amd64 2.7.9-1
2019-02-14 21:12:40 trigproc mime-support:all 3.58 <none>
2019-02-14 21:12:40 status half-configured mime-support:all 3.58
2019-02-14 21:12:41 status installed mime-support:all 3.58
2019-02-14 21:12:42 startup packages configure
2019-02-14 21:12:42 configure libpython2.7-minimal:amd64 2.7.9-2+deb8u2 <none>
2019-02-14 21:12:42 status unpacked libpython2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:42 status unpacked libpython2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:43 status half-configured libpython2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:44 status installed libpython2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:44 configure python2.7-minimal:amd64 2.7.9-2+deb8u2 <none>
2019-02-14 21:12:44 status unpacked python2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:44 status half-configured python2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:45 status installed python2.7-minimal:amd64 2.7.9-2+deb8u2
2019-02-14 21:12:45 configure python-minimal:amd64 2.7.9-1 <none>
2019-02-14 21:12:45 status unpacked python-minimal:amd64 2.7.9-1
2019-02-14 21:12:45 status half-configured python-minimal:amd64 2.7.9-1
2019-02-14 21:12:46 status installed python-minimal:amd64 2.7.9-1
2019-02-14 21:12:47 startup archives unpack
2019-02-14 21:12:48 install python:amd64 <none> 2.7.9-1
2019-02-14 21:12:48 status half-installed python:amd64 2.7.9-1
2019-02-14 21:12:48 status unpacked python:amd64 2.7.9-1
2019-02-14 21:12:48 status unpacked python:amd64 2.7.9-1
2019-02-14 21:12:50 install libc-ares2:amd64 <none> 1.10.0-2+deb8u2
2019-02-14 21:12:50 status half-installed libc-ares2:amd64 1.10.0-2+deb8u2
2019-02-14 21:12:50 status unpacked libc-ares2:amd64 1.10.0-2+deb8u2
2019-02-14 21:12:50 status unpacked libc-ares2:amd64 1.10.0-2+deb8u2
2019-02-14 21:12:51 install build-essential:amd64 <none> 11.7
2019-02-14 21:12:51 status half-installed build-essential:amd64 11.7
2019-02-14 21:12:52 status unpacked build-essential:amd64 11.7
2019-02-14 21:12:52 status unpacked build-essential:amd64 11.7
2019-02-14 21:12:53 install python-pkg-resources:all <none> 5.5.1-1
2019-02-14 21:12:53 status half-installed python-pkg-resources:all 5.5.1-1
2019-02-14 21:12:54 status unpacked python-pkg-resources:all 5.5.1-1
2019-02-14 21:12:54 status unpacked python-pkg-resources:all 5.5.1-1
2019-02-14 21:12:54 install gyp:all <none> 0.1~svn1729-3
2019-02-14 21:12:54 status half-installed gyp:all 0.1~svn1729-3
2019-02-14 21:12:55 status unpacked gyp:all 0.1~svn1729-3
2019-02-14 21:12:55 status unpacked gyp:all 0.1~svn1729-3
2019-02-14 21:12:56 install javascript-common:all <none> 11
2019-02-14 21:12:56 status half-installed javascript-common:all 11
2019-02-14 21:12:56 status unpacked javascript-common:all 11
2019-02-14 21:12:56 status unpacked javascript-common:all 11
2019-02-14 21:12:57 install libjs-jquery:all <none> 1.7.2+dfsg-3.2
2019-02-14 21:12:57 status half-installed libjs-jquery:all 1.7.2+dfsg-3.2
2019-02-14 21:12:57 status unpacked libjs-jquery:all 1.7.2+dfsg-3.2
